software_name,purl,purl_type,purl_namespace,purl_name,match_confidence,status,registry_url,last_verified_date,deprecated_at,deprecated_reason,product_id,purl_coverage_flag,data_quality_notes
Cryptomathic CKMS,,,,,,not_found,,2026-05-10,,,cryptomathic-ckms,,
Cryptomathic CrystalKey 360,,,,,,not_found,,2026-05-10,,,cryptomathic-crystalkey-360,,
CryptoNext COMPASS Network Probe,,,,,,not_found,,2026-05-10,,,cryptonext-compass-network-probe,,
CryptoNext COMPASS Probe,,,,,,not_found,,2026-05-10,,,cryptonext-compass-probe,,
CryptoNext Quantum-Safe Library,,,,,,not_found,,2026-05-10,,,cryptonext-quantum-safe-library,,
Cryptosense Analyzer,,,,,,not_found,,2026-05-10,,,cryptosense-analyzer,,
CryptPad PQC Collaboration,,,,,,not_found,,2026-05-10,,,cryptpad-pqc-collaboration,,
CRYSTALS Reference Implementations,,,,,,not_found,,2026-05-10,,,crystals-reference-implementations,,
curl PQC,,,,,,not_found,,2026-05-10,,,curl-pqc,,
CyberArk Conjur,,,,,,not_found,,2026-05-10,,,cyberark-conjur,,
Cyberint (Check Point),,,,,,not_found,,2026-05-10,,,cyberint-check-point,,
Cybernetica PQC Estonia,,,,,,not_found,,2026-05-10,,,cybernetica-pqc-estonia,,
CyberZero Quantanaut,,,,,,not_found,,2026-05-10,,,cyberzero-quantanaut,,
CZERTAINLY,,,,,,not_found,,2026-05-10,,,czertainly,,
CZQCI Czech Quantum Infrastructure,,,,,,not_found,,2026-05-10,,,czqci-czech-quantum-infrastructure,,
Dashlane,,,,,,not_found,,2026-05-10,,,dashlane,,
Debian 12 (Bookworm),,,,,,not_found,,2026-05-10,,,debian-12-bookworm,,
Delinea Secret Server,,,,,,not_found,,2026-05-10,,,delinea-secret-server,,
Dell BSAFE Crypto Module for C,,,,,,not_found,,2026-05-10,,,dell-bsafe-crypto-module-for-c,,
Dell BSAFE Crypto-J,,,,,,not_found,,2026-05-10,,,dell-bsafe-crypto-j,,
Dell PowerStore OS 4.0,,,,,,not_found,,2026-05-10,,,dell-powerstore-os-4-0,,
