concept_id,display_label,source_type,source_table,source_row_id,primary_url,status,deprecated_at,deprecated_reason
standard:nist-nccoe-sp-1800-38c,NIST NCCoE SP 1800-38C,standard,library,NIST NCCoE SP 1800-38C,https://www.nccoe.nist.gov/sites/default/files/2023-12/pqc-migration-nist-sp-1800-38c-preliminary-draft.pdf,active,,
standard:nist-sp-1800-38b,NIST-SP-1800-38B,standard,library,NIST-SP-1800-38B,https://csrc.nist.gov/pubs/sp/1800/38b/final,active,,
standard:nist-sp-800-108-r1,NIST-SP-800-108-R1,standard,library,NIST-SP-800-108-R1,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-108r1.pdf,active,,
standard:nist-sp-800-131a-rev3,NIST-SP-800-131A-Rev3,standard,library,NIST-SP-800-131A-Rev3,https://csrc.nist.gov/pubs/sp/800/131/a/r3/ipd,active,,
standard:nist-sp-800-140a,NIST-SP-800-140A,standard,library,NIST-SP-800-140A,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140A.pdf,active,,
standard:nist-sp-800-140c,NIST-SP-800-140C,standard,library,NIST-SP-800-140C,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140C.pdf,active,,
standard:nist-sp-800-140cr1,NIST-SP-800-140Cr1,standard,library,NIST-SP-800-140Cr1,https://csrc.nist.gov/pubs/sp/800/140cr1/final,active,,
standard:nist-sp-800-140d,NIST-SP-800-140D,standard,library,NIST-SP-800-140D,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140D.pdf,active,,
standard:nist-sp-800-140dr1,NIST-SP-800-140Dr1,standard,library,NIST-SP-800-140Dr1,https://csrc.nist.gov/pubs/sp/800/140dr1/final,active,,
standard:nist-sp-800-208,NIST SP 800-208,standard,library,NIST SP 800-208,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-208.pdf,active,,
standard:nist-sp-800-218,NIST SP 800-218,standard,library,NIST SP 800-218,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf,active,,
standard:nist-sp-800-227,NIST SP 800-227,standard,library,NIST SP 800-227,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-227.pdf,active,,
standard:nist-sp-800-230-ipd,NIST-SP-800-230-ipd,standard,library,NIST-SP-800-230-ipd,https://csrc.nist.gov/pubs/sp/800/230/ipd,active,,
standard:nist-sp-800-232,NIST-SP-800-232,standard,library,NIST-SP-800-232,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-232.pdf,active,,
