software_name,cert_type,cert_id,cert_vendor,cert_product,pqc_algorithms,certification_level,status,cert_date,cert_link,deprecated_at,deprecated_reason,product_id,pqc_cert_flag,cert_link_quality,data_quality_notes,date_stamp
Apple PQ3 / CoreCrypto,ACVP,A7637,Apple Inc.,"Apple corecrypto Module [Apple silicon, Kernel, Software, SL1] (vng_hwassist)","ML-DSA, ML-KEM",,Active,2025-10-31,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20368,,,,,,,
Apple PQ3 / CoreCrypto,ACVP,A7649,Apple Inc.,"Apple corecrypto Module [Apple silicon, Secure Key Store, Hardware, SL2] (c_ltc)","ML-DSA, ML-KEM",,Active,2025-10-31,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20372,,,,,,,
Apple PQ3 / CoreCrypto,ACVP,A7645,Apple Inc.,"Apple corecrypto Module [Apple silicon, User, Software, SL1] (vng_hwassist)","ML-DSA, ML-KEM",,Active,2025-10-31,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20361,,,,,,,
Apple PQ3 / CoreCrypto,FIPS 140-3,5184,Apple Inc.,"Apple corecrypto Module 18.3 [Apple silicon, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,deprecated,2026-03-11,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5184,2026-05-10,not in regen,apple-pq3-corecrypto,no_pqc_cert_classical_only,url_authoritative,CMVP #5184: Classical cryptography only. PQC (ML-KEM/ML-DSA/SLH-DSA) not yet validated under this certificate. CMVP PQC module validation anticipated 2026-2027 per NIST CMVP roadmap.,2026-05-06
Apple PQ3 / CoreCrypto,FIPS 140-3,5202,Apple Inc.,"Apple corecrypto Module v14.0 [Intel, Kernel, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,deprecated,2026-03-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5202,2026-05-10,not in regen,apple-pq3-corecrypto,no_pqc_cert_classical_only,url_authoritative,CMVP #5202: Classical cryptography only. PQC (ML-KEM/ML-DSA/SLH-DSA) not yet validated under this certificate. CMVP PQC module validation anticipated 2026-2027 per NIST CMVP roadmap.,2026-05-06
Apple PQ3 / CoreCrypto,FIPS 140-3,5201,Apple Inc.,"Apple corecrypto Module v14.0 [Intel, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,deprecated,2026-03-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5201,2026-05-10,not in regen,apple-pq3-corecrypto,no_pqc_cert_classical_only,url_authoritative,CMVP #5201: Classical cryptography only. PQC (ML-KEM/ML-DSA/SLH-DSA) not yet validated under this certificate. CMVP PQC module validation anticipated 2026-2027 per NIST CMVP roadmap.,2026-05-06
Apple PQ3 / CoreCrypto,FIPS 140-3,5218,Apple Inc.,"Apple corecrypto Module v18.3 [Intel, Kernel, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-03-30,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5218,2026-06-04,not in regen,,,,,
Apple PQ3 / CoreCrypto,FIPS 140-3,5217,Apple Inc.,"Apple corecrypto Module v18.3 [Intel, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-03-30,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5217,2026-06-04,not in regen,,,,,
Apple PQ3 / CoreCrypto,FIPS 140-3,5216,Apple Inc.,"Apple corecrypto Module v14.0 [Apple silicon, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-03-30,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5216,2026-05-16,not in regen,,,,,
Apple PQ3 / CoreCrypto,FIPS 140-3,5263,Apple Inc.,"Apple corecrypto Module v14.0 [Apple silicon, Kernel, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-05-12,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5263,2026-06-04,not in regen,,,,,
Apple PQ3 / CoreCrypto,FIPS 140-3,5307,Apple Inc.,"Apple corecrypto Module v13.0 [Apple silicon, Secure Key Store, Hardware SL2]",No PQC Mechanisms Detected,FIPS 140-3 L2,Active,2026-06-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5307,,,,,,,
Apple PQ3 / CoreCrypto,FIPS 140-3,5306,Apple Inc.,"Apple corecrypto Module 18.3 [Apple silicon, Secure Key Store, Hardware, SL2/PHY3]",No PQC Mechanisms Detected,FIPS 140-3 L2,Active,2026-06-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5306,,,,,,,
Apple PQ3 / CoreCrypto,FIPS 140-3,5304,Apple Inc.,"Apple corecrypto Module v14.0 [Apple silicon, Secure Key Store, Hardware, SL2/PHY3]",No PQC Mechanisms Detected,FIPS 140-3 L2,Active,2026-06-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5304,,,,,,,
Apple Safari,ACVP,A7637,Apple Inc.,"Apple corecrypto Module [Apple silicon, Kernel, Software, SL1] (vng_hwassist)","ML-DSA, ML-KEM",,deprecated,2025-10-31,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20368,2026-06-06,not in regen,,,,,
Apple Safari,ACVP,A7649,Apple Inc.,"Apple corecrypto Module [Apple silicon, Secure Key Store, Hardware, SL2] (c_ltc)","ML-DSA, ML-KEM",,deprecated,2025-10-31,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20372,2026-06-06,not in regen,,,,,
Apple Safari,ACVP,A7645,Apple Inc.,"Apple corecrypto Module [Apple silicon, User, Software, SL1] (vng_hwassist)","ML-DSA, ML-KEM",,deprecated,2025-10-31,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20361,2026-06-06,not in regen,,,,,
Apple Safari,FIPS 140-3,5184,Apple Inc.,"Apple corecrypto Module 18.3 [Apple silicon, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,deprecated,2026-03-11,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5184,2026-05-10,not in regen,apple-safari,no_pqc_cert_classical_only,url_authoritative,CMVP #5184: Classical cryptography only. PQC (ML-KEM/ML-DSA/SLH-DSA) not yet validated under this certificate. CMVP PQC module validation anticipated 2026-2027 per NIST CMVP roadmap.,2026-05-06
Apple Safari,FIPS 140-3,5202,Apple Inc.,"Apple corecrypto Module v14.0 [Intel, Kernel, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,deprecated,2026-03-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5202,2026-05-10,not in regen,apple-safari,no_pqc_cert_classical_only,url_authoritative,CMVP #5202: Classical cryptography only. PQC (ML-KEM/ML-DSA/SLH-DSA) not yet validated under this certificate. CMVP PQC module validation anticipated 2026-2027 per NIST CMVP roadmap.,2026-05-06
Apple Safari,FIPS 140-3,5201,Apple Inc.,"Apple corecrypto Module v14.0 [Intel, User, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L3,deprecated,2026-03-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5201,2026-05-10,not in regen,apple-safari,no_pqc_cert_classical_only,url_authoritative,CMVP #5201: Classical cryptography only. PQC (ML-KEM/ML-DSA/SLH-DSA) not yet validated under this certificate. CMVP PQC module validation anticipated 2026-2027 per NIST CMVP roadmap.,2026-05-06
Apple Safari,FIPS 140-3,5218,Apple Inc.,"Apple corecrypto Module v18.3 [Intel, Kernel, Software, SL1]",No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-03-30,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5218,2026-06-04,not in regen,,,,,
